case_id,case_name,event_family,year,actor,sector,observed_outcome,strategic_response,time_horizon,confidence,source_status,evidence_note
HO-015,Semiconductor Shortage,Supply Chain Disruption,2021,Automakers; chipmakers; suppliers,Automotive and Semiconductors,Chip shortages delayed production and exposed supplier concentration in critical components.,"Firms reviewed allocation processes, supplier relationships, and design flexibility.",Medium-term,High,source pending; educational summary,High confidence because the outcome is broadly documented in public summaries; source URLs remain pending for this educational dataset.
HO-016,Ukraine War Energy Shock,Geopolitical Escalation,2022,Governments; energy firms; consumers,Energy,"Conflict and sanctions pressures changed energy flows, procurement, and price sensitivity.","Organizations monitored supply exposure, alternative sourcing, and policy responses.",Medium-term,Medium,source pending; educational summary,Medium confidence because the outcome is a simplified public-history summary and should be checked against primary sources.
HO-017,Entity List Expansion,Export Controls,2020,U.S. government; listed firms; suppliers,Technology,Expanded restrictions increased screening burden and uncertainty for technology transactions.,Companies strengthened restricted-party checks and licensing escalation paths.,Short-to-medium-term,Medium,source pending; educational summary,Medium confidence because the outcome is a simplified public-history summary and should be checked against primary sources.
HO-018,Strategic Battery Supply Policy,Industrial Policy,2021,Governments; automakers; battery suppliers,Batteries and Automotive,Policy support increased attention to domestic battery inputs and supply security.,"Firms evaluated supplier geography, qualification timelines, and incentive eligibility.",Long-term,Medium,source pending; educational summary,Medium confidence because the outcome is a simplified public-history summary and should be checked against primary sources.
HO-019,Maritime Chokepoint Disruption,Supply Chain Disruption,2021,Shippers; ports; logistics firms,Shipping and Logistics,Route concentration created delivery delays and highlighted chokepoint exposure.,"Companies reviewed alternative routes, inventory buffers, and customer updates.",Short-term,Medium,source pending; educational summary,Medium confidence because the outcome is a simplified public-history summary and should be checked against primary sources.
HO-020,Allied Export Control Coordination,Export Controls,2023,Allied governments; semiconductor firms,Semiconductors,Policy alignment among allies increased the importance of jurisdiction-by-jurisdiction rule monitoring.,"Firms tracked implementation differences, license requirements, and supplier communication.",Medium-term,Medium,source pending; educational summary,Medium confidence because the outcome is a simplified public-history summary and should be checked against primary sources.
HO-021,ZTE Denial Order,Export Controls,2018,U.S. government; ZTE; suppliers,Telecommunications,Restricted access to U.S. technology inputs created severe operational disruption for a telecom equipment firm.,"The company pursued compliance remediation, management changes, and supplier access restoration.",Short-term,High,source pending; educational summary,High confidence because the broad outcome is widely documented; exact operational details should be checked against primary sources.
HO-022,Foreign Direct Product Rule Expansion,Export Controls,2020,U.S. government; semiconductor suppliers; Huawei,Semiconductors,Expanded rules connected overseas chip production to U.S.-origin technology controls.,"Firms reviewed foundry exposure, design-tool dependencies, and customer eligibility.",Medium-term,Medium,source pending; educational summary,Medium confidence because this is a simplified rule-impact summary and should be checked against primary sources.
HO-023,Advanced Computing Controls,Export Controls,2022,U.S. government; chip firms; cloud customers,Semiconductors,Controls on advanced computing items increased product-classification and licensing review.,"Companies reassessed product thresholds, customer screening, and cross-border technical support.",Medium-term,Medium,source pending; educational summary,Medium confidence because thresholds and implementation details require primary-source review.
HO-024,Cloud Service Control Review,Export Controls,2023,Governments; cloud providers; AI customers,Cloud and AI,Policy discussion around compute access increased monitoring of cloud service exposure.,"Providers reviewed customer controls, service eligibility, and escalation processes.",Medium-term,Low,source pending; educational summary,Low confidence because public evidence is evolving and this record is a generalized educational summary.
HO-025,Telecom Equipment Security Restrictions,Export Controls,2020,Governments; telecom operators; equipment vendors,Telecommunications,Security restrictions changed vendor eligibility and network procurement planning.,"Operators reviewed supplier lists, replacement costs, and compliance documentation.",Long-term,Medium,source pending; educational summary,Medium confidence because outcomes varied by jurisdiction and require local source review.
HO-026,Crimea Sanctions,Sanctions,2014,Governments; banks; energy firms,Energy and Finance,Regional sanctions increased counterparty restrictions and investment limits for affected activities.,"Organizations updated screening lists, contract reviews, and regional exposure reporting.",Medium-term,Medium,source pending; educational summary,Medium confidence because this is a simplified cross-sector summary.
HO-027,North Korea Sanctions Enforcement,Sanctions,2017,Governments; banks; shipping firms,Finance and Shipping,"Enforcement pressure increased due diligence around counterparties, vessels, and payment flows.","Firms strengthened screening, beneficial ownership checks, and escalation routines.",Medium-term,Medium,source pending; educational summary,Medium confidence because enforcement patterns are public but case-level details vary.
HO-028,Venezuela Oil Sanctions,Sanctions,2019,Governments; oil firms; traders,Energy,"Sanctions constrained transactions, crude flows, and counterparty relationships.","Companies reviewed contracts, payment channels, and exposure to restricted entities.",Medium-term,Medium,source pending; educational summary,Medium confidence because this is an educational summary of a complex sanctions regime.
HO-029,SWIFT Restrictions,Sanctions,2022,Governments; banks; corporates,Finance,"Payment network restrictions complicated settlement, liquidity access, and cross-border transactions.","Organizations reassessed payment routes, bank counterparties, and treasury controls.",Short-to-medium-term,High,source pending; educational summary,High confidence because the general financial-system impact is widely documented.
HO-030,Secondary Sanctions Risk,Sanctions,2018,Governments; multinational firms; banks,Finance and Trade,Secondary-sanctions exposure made indirect counterparties strategically important.,"Firms expanded diligence beyond direct customers and reviewed distributor and bank relationships.",Medium-term,Medium,source pending; educational summary,Medium confidence because implementation depends on facts and jurisdictional guidance.
HO-031,EU Battery Industrial Policy,Industrial Policy,2020,EU institutions; automakers; battery suppliers,Batteries and Automotive,Public support and regulation increased focus on regional battery supply chains.,"Companies evaluated local partnerships, input sourcing, and compliance documentation.",Long-term,Medium,source pending; educational summary,Medium confidence because outcomes vary across member states and projects.
HO-032,South Korea Semiconductor Support,Industrial Policy,2021,South Korean government; chipmakers,Semiconductors,Tax and infrastructure support reinforced strategic semiconductor capacity planning.,"Firms coordinated capex planning, talent pipelines, and supplier ecosystem development.",Long-term,Medium,source pending; educational summary,Medium confidence because this record summarizes policy direction rather than one source event.
HO-033,Japan Semiconductor Revitalization,Industrial Policy,2022,Japanese government; chipmakers; equipment firms,Semiconductors,Industrial support increased attention to domestic advanced manufacturing capability.,"Companies reviewed partnership models, subsidies, and technology transfer constraints.",Long-term,Medium,source pending; educational summary,Medium confidence because the outcome is a simplified educational summary.
HO-034,European Chips Act,Industrial Policy,2023,EU institutions; semiconductor firms,Semiconductors,Policy support sought to strengthen regional chip capacity and supply resilience.,"Firms assessed project eligibility, public funding rules, and cross-border supply planning.",Long-term,Medium,source pending; educational summary,Medium confidence because the program includes multiple implementation channels.
HO-035,Defense Production Act Medical Supplies,Industrial Policy,2020,U.S. government; manufacturers; healthcare suppliers,Healthcare Manufacturing,Emergency industrial policy highlighted capacity constraints and priority allocation issues.,"Organizations shifted production, coordinated with agencies, and tracked priority contracts.",Short-term,Medium,source pending; educational summary,Medium confidence because this is a broad summary of multiple emergency actions.
HO-036,Suez Canal Ever Given Blockage,Supply Chain Disruption,2021,Shipping firms; canal authorities; manufacturers,Shipping and Logistics,A single chokepoint disruption delayed vessels and exposed route concentration.,"Companies monitored cargo status, customer communication, and alternative routing options.",Short-term,High,source pending; educational summary,High confidence because the event and broad logistics impact are widely documented.
HO-037,Port Congestion During COVID,Supply Chain Disruption,2021,Ports; retailers; logistics firms,Retail and Logistics,"Port congestion increased transit times, inventory uncertainty, and freight costs.","Firms adjusted ordering cycles, carrier relationships, and inventory buffers.",Short-to-medium-term,High,source pending; educational summary,High confidence because broad congestion outcomes are well documented.
HO-038,Automotive Wiring Harness Disruption,Supply Chain Disruption,2022,Automakers; suppliers; Ukraine-based manufacturers,Automotive,Regional conflict disrupted specialized component supply for vehicle production.,"Companies reviewed supplier geography, alternate sourcing, and production sequencing.",Short-to-medium-term,Medium,source pending; educational summary,Medium confidence because detailed firm impacts varied by supply chain.
HO-039,Semiconductor Fab Fire,Supply Chain Disruption,2021,Chipmakers; automakers; electronics firms,Semiconductors,Facility disruption tightened supply for selected chips and exposed limited redundancy.,"Customers monitored allocations, qualified alternatives, and adjusted production plans.",Short-term,Medium,source pending; educational summary,Medium confidence because this combines several public examples into a simplified pattern.
HO-040,Container Freight Rate Shock,Supply Chain Disruption,2021,Carriers; importers; retailers,Shipping and Retail,Freight-rate spikes changed landed-cost assumptions and planning timelines.,"Companies renegotiated logistics contracts, adjusted pricing assumptions, and reviewed buffers.",Medium-term,High,source pending; educational summary,High confidence because broad freight-rate pressure is widely documented.
HO-041,AI Chip Competition Acceleration,Technology Competition,2023,Chipmakers; cloud firms; governments,AI and Semiconductors,Demand for advanced AI compute increased strategic attention to chip access and capacity.,"Firms reviewed supplier allocation, compute procurement, and partnership strategy.",Medium-term,Medium,source pending; educational summary,Medium confidence because commercial details are firm-specific and evolving.
HO-042,5G Vendor Competition,Technology Competition,2019,Telecom vendors; governments; operators,Telecommunications,Technology competition became tied to security review and vendor selection.,"Operators reassessed vendor risk, procurement strategy, and network transition plans.",Long-term,Medium,source pending; educational summary,Medium confidence because impacts differed across jurisdictions.
HO-043,Open-Source Software Security Shock,Technology Competition,2021,Software firms; cloud providers; enterprises,Software,A widely used software vulnerability increased attention to dependency visibility.,"Organizations expanded software inventory, patching workflows, and vendor-risk review.",Short-to-medium-term,High,source pending; educational summary,High confidence because the broad operational response is widely documented.
HO-044,Digital Sovereignty Cloud Initiatives,Technology Competition,2021,Governments; cloud providers; enterprises,Cloud and Data,Data-sovereignty concerns affected cloud procurement and regional architecture planning.,"Providers and customers reviewed residency controls, compliance claims, and service design.",Long-term,Medium,source pending; educational summary,Medium confidence because the theme spans multiple initiatives.
HO-045,App Store Competition Actions,Regulatory Action,2021,Regulators; platform firms; developers,Digital Platforms,"Competition scrutiny increased pressure on platform fees, access rules, and developer terms.","Platforms reviewed policies, reporting, developer communication, and compliance litigation exposure.",Medium-term,Medium,source pending; educational summary,Medium confidence because outcomes vary across cases and jurisdictions.
HO-046,Digital Markets Act Implementation,Regulatory Action,2024,EU regulators; gatekeeper platforms,Digital Platforms,"Gatekeeper rules created new compliance, interoperability, and reporting obligations.","Platforms prepared compliance plans, product changes, and regulatory engagement routines.",Long-term,Medium,source pending; educational summary,Medium confidence because implementation is ongoing and should be checked against current rules.
HO-047,AI Governance Regulatory Review,Regulatory Action,2023,Regulators; AI developers; enterprises,AI and Software,AI governance rules increased documentation and risk-management expectations.,"Organizations reviewed model governance, data practices, and accountability workflows.",Long-term,Low,source pending; educational summary,Low confidence because regulatory regimes are still developing.
HO-048,Bank Capital Rule Debate,Regulatory Action,2023,Regulators; banks; corporate borrowers,Finance,Capital-rule proposals affected planning around lending capacity and compliance operations.,"Banks assessed balance sheet impacts, reporting burden, and stakeholder communication.",Medium-term,Low,source pending; educational summary,Low confidence because proposal outcomes and implementation details may change.
HO-049,Energy Infrastructure Cyber Regulation,Regulatory Action,2021,Regulators; pipeline operators; energy firms,Energy,Cybersecurity concerns increased reporting and operational resilience expectations.,"Operators reviewed incident response, control systems, and regulatory reporting processes.",Medium-term,Medium,source pending; educational summary,Medium confidence because this is a simplified regulatory-response pattern.
HO-050,South China Sea Escalation Monitoring,Geopolitical Escalation,2016,Governments; militaries; shippers,Shipping and Security,Regional security tension increased monitoring of maritime routes and operating assumptions.,"Organizations tracked route risk, insurance signals, and contingency planning.",Medium-term,Low,source pending; educational summary,Low confidence because business impacts are indirect and depend on event specifics.
HO-051,Middle East Energy Route Tension,Geopolitical Escalation,2019,Governments; energy firms; shippers,Energy and Shipping,Security incidents near energy routes increased attention to insurance and supply continuity.,"Firms reviewed shipping exposure, inventories, and customer communication.",Short-to-medium-term,Medium,source pending; educational summary,Medium confidence because broad route-risk patterns are public but firm impacts vary.
HO-052,Black Sea Grain Corridor Disruption,Geopolitical Escalation,2022,Governments; agricultural exporters; shippers,Agriculture and Shipping,Conflict affected export routes and food-supply planning.,"Organizations monitored corridor access, alternative logistics, and contract obligations.",Medium-term,Medium,source pending; educational summary,Medium confidence because this summarizes public disruption patterns.
HO-053,Corporate Russia Market Exit,Corporate Strategic Response,2022,Multinational firms; governments; customers,Multi-sector,Geopolitical and sanctions pressure led many firms to suspend operations or exit markets.,"Companies reviewed employee safety, asset exposure, sanctions obligations, and reputational risk.",Short-to-medium-term,High,source pending; educational summary,High confidence because broad corporate-exit patterns are widely documented.
HO-054,Supply Chain Nearshoring Strategy,Corporate Strategic Response,2020,Manufacturers; retailers; suppliers,Manufacturing and Retail,Repeated disruptions increased interest in regional supplier diversification.,"Firms assessed total landed cost, supplier qualification, and resilience tradeoffs.",Long-term,Medium,source pending; educational summary,Medium confidence because this is a cross-case strategic pattern rather than one event.
HO-055,Bank Sanctions Compliance Cost Disclosure,Financial / Earnings Geopolitical Exposure,2022,Banks; regulators; corporate clients,Finance,Sanctions and geopolitical exposure increased compliance workload and management disclosure needs.,"Banks reviewed client screening, transaction monitoring, staffing, and board reporting.",Medium-term,Medium,source pending; educational summary,Medium confidence because this is a generalized pattern from public disclosures.
